Description,Monthly_Installment,List_Price,Model,Mileage,Gear_Type,Location
2025 BMW 330i 2.0 M Sport FL-Jan Sedan - Sime Darby Auto Selection Glenmarie Pre-Owned Used Cars,"RM 3,345 / month","RM 258,000",BMW 330i,5 - 10K KM,Automatic,"Selangor, Shah Alam"
2019 Honda Jazz 1.5 S Hatchback - Y.E.S DISCOUNT,RM 672 / month,"RM 51,800",Honda Jazz,105 - 110K KM,Automatic,"Negeri Sembilan, Seremban"
2021 Perodua Ativa 1.0 AV SUV - Y.E.S DISCOUNT,RM 723 / month,"RM 55,800",Perodua Ativa,65 - 70K KM,Automatic,"Negeri Sembilan, Seremban"
2018 Honda Civic 1.8 S Sedan,RM 815 / month,"RM 62,900",Honda Civic,110 - 115K KM,Automatic,"Negeri Sembilan, Seremban"
2024 BMW 330i 2.0 M Sport Sedan,"RM 3,086 / month","RM 238,000",BMW 330i,30 - 35K KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
2020 Toyota Hilux 2.4 E Dual Cab Pickup,"RM 1,219 / month","RM 94,000",Toyota Hilux,60 - 65K KM,Automatic,"Negeri Sembilan, Seremban"
2019 Proton X70 1.8 TGDI Premium SUV,RM 685 / month,"RM 52,800",Proton X70,110 - 115K KM,Automatic,"Kelantan, Kota Bharu"
2017 Mazda CX-5 2.0 SKYACTIV-G GLS SUV - (YearEndSales),RM 867 / month,"RM 66,900",Mazda CX-5,140 - 145K KM,Automatic,"Negeri Sembilan, Seremban"
2016 Proton Saga 1.3 Standard Sedan,RM 218 / month,"RM 16,800",Proton Saga,107995 KM,Automatic,"Selangor, Petaling Jaya"
2014 Volkswagen Beetle 1.2 TSI Coupe,RM 583 / month,"RM 45,000",Volkswagen Beetle,102357 KM,Automatic,"Selangor, Petaling Jaya"
2020 Perodua Aruz 1.5 AV SUV,RM 682 / month,"RM 52,600",Perodua Aruz,93739 KM,Automatic,"Selangor, Petaling Jaya"
2022 Honda City 1.5 V Sensing Sedan,RM 880 / month,"RM 67,900",Honda City,75 - 80K KM,Automatic,"Negeri Sembilan, Seremban"
2017 Honda HR-V 1.8 E SUV,RM 634 / month,"RM 48,900",Honda HR-V,97229 KM,Automatic,"Selangor, Petaling Jaya"
2017 Honda CR-V 1.5 TC-P SUV,"RM 1,024 / month","RM 79,000",Honda CR-V,115 - 120K KM,Automatic,"Negeri Sembilan, Seremban"
2022 Toyota Hilux 2.8 Rogue Dual Cab Pickup - Truck,"RM 1,528 / month","RM 117,900",Toyota Hilux,43633 KM,Automatic,"Selangor, Petaling Jaya"
2018 Perodua AXIA 1.0 G Hatchback,RM 334 / month,"RM 25,800",Perodua AXIA,99195 KM,Automatic,"Selangor, Petaling Jaya"
2015 Perodua Myvi 1.5 SE Hatchback,RM 381 / month,"RM 29,400",Perodua Myvi,105 - 110K KM,Automatic,"Negeri Sembilan, Seremban"
2022 Perodua AXIA 1.0 GXtra Hatchback,RM 439 / month,"RM 33,900",Perodua AXIA,55123 KM,Automatic,"Selangor, Petaling Jaya"
2020 Perodua AXIA 1.0 GXtra Hatchback,RM 401 / month,"RM 30,900",Perodua AXIA,58537 KM,Automatic,"Selangor, Petaling Jaya"
2013 Perodua Myvi 1.5 SE Hatchback,RM 310 / month,"RM 23,900",Perodua Myvi,181237 KM,Automatic,"Selangor, Petaling Jaya"
2015 Perodua Myvi 1.5 Advance Hatchback,RM 421 / month,"RM 32,500",Perodua Myvi,170 - 175K KM,Automatic,"Negeri Sembilan, Seremban"
2019 Perodua Alza 1.5 SE MPV,RM 556 / month,"RM 42,900",Perodua Alza,117946 KM,Automatic,"Selangor, Petaling Jaya"
2023 Honda City 1.5 V Sensing Sedan - Direct Owner,RM 906 / month,"RM 69,866",Honda City,55 - 60K KM,Automatic,"Johor, Skudai"
2014 Perodua Myvi 1.5 SE Hatchback - PROMO 1 YEAR WARRANTY,RM 337 / month,"RM 26,000",Perodua Myvi,185 - 190K KM,Automatic,"Negeri Sembilan, Seremban"
2021 Proton Saga 1.3 Premium Sedan - BRAND NEW 4 MICHELIN Tyres,RM 257 / month,"RM 19,800",Proton Saga,60 - 65K KM,Automatic,"Selangor, Petaling Jaya"
2022 MINI Countryman 2.0 Cooper S SUV,"RM 166,698  Avg. mkt.                                    This car is a Hot deal because the current market average is ""RM 166,698"" and is now 20% below market price","-20% RM 134,000",MINI Countryman,50 - 55K KM,Automatic,"Selangor, Petaling Jaya"
2018 Honda Civic 1.8 S Sedan - NEW CAR CONDITION LOW MILEAGE 2YRS WARRANTY,RM 869 / month,"RM 67,000",Honda Civic,40 - 45K KM,Automatic,"Penang, Bayan Lepas"
2020 Toyota Camry 2.5 V Sedan,"RM 1,540 / month","RM 118,800",Toyota Camry,65 - 70K KM,Automatic,"Johor, Skudai"
2024 MINI Clubman 2.0 Cooper S Wagon,"RM 2,826 / month","RM 218,000",MINI Clubman,40 - 45K KM,Automatic,"Selangor, Subang Jaya"
2021 Mercedes-Benz AMG A45 2.0 S 4MATIC+ Hatchback - Mercedes Benz A45s AMG 4MATIC CBU 421PS (416PS) 500NM Eventuri Intake Burmester Sound System,"RM 3,189 / month","RM 245,999",Mercedes-Benz AMG A45,55 - 60K KM,Automatic,"Kuala Lumpur, Old Klang Road"
2015/2018 Toyota Vellfire 2.5 ZG MPV - JBL SOUND SYSTEM FULLY CONVERTED ALPHARD,"RM 1,698 / month","RM 130,999",Toyota Vellfire,80 - 85K KM,Automatic,"Kuala Lumpur, Old Klang Road"
2021 BMW 320i 2.0 Sport Sedan - FACELIFT LOW MILEAGE FULL SERVICE RECORD UNDER WARRANTY 2026,"RM 1,608 / month","RM 123,999",BMW 320i,85 - 90K KM,Automatic,"Kuala Lumpur, Old Klang Road"
2018/2022 Mercedes-Benz AMG GLC43 3.0 4MATIC SUV - Mercedes Benz GLC43 Coupe AMG Burmester Sound System 360 Camera Panoramic Sunroof,"RM 2,554 / month","RM 196,999",Mercedes-Benz AMG GLC43,65 - 70K KM,Automatic,"Kuala Lumpur, Old Klang Road"
2020 BMW X4 2.0 xDrive30i M Sport SUV - FULL SERVICE RECORD HARMON KARDON,"RM 2,035 / month","RM 156,999",BMW X4,90 - 95K KM,Automatic,"Kuala Lumpur, Old Klang Road"
2019 Mercedes-Benz C300 2.0 AMG Line Sedan - FULL SERVICE RECORD ORIGINAL LOW MILEAGE BURMESTER PREMIUM SURROUND SOUND SYSTEM,"RM 1,608 / month","RM 123,999",Mercedes-Benz C300,90 - 95K KM,Automatic,"Kuala Lumpur, Old Klang Road"
2023 BMW 330e 2.0 M Sport Sedan - LOW MILEAGE 9200 UNDER WARRANTY 2028 HYBRID 2031,"RM 2,256 / month","RM 173,999",BMW 330e,5 - 10K KM,Automatic,"Kuala Lumpur, Old Klang Road"
2022 BMW X3 2.0 xDrive30i M Sport SUV - ORIGINAL LOW MILEAGE FULL SERVICE RECORD UNDER WARRANTY,"RM 2,282 / month","RM 175,999",BMW X3,55 - 60K KM,Automatic,"Kuala Lumpur, Old Klang Road"
2019 BMW 330i 2.0 M Sport Sedan - DIGITAL METER FULL HD REVERSE CAMERA,"RM 1,685 / month","RM 129,999",BMW 330i,95 - 100K KM,Automatic,"Kuala Lumpur, Old Klang Road"
2021 BMW X5 3.0 xDrive45e M Sport SUV - FULL SERVICE RECORD LOW MILEAGE HARMON KARDON SOUND SYSTEM,"RM 2,256 / month","RM 173,999",BMW X5,85 - 90K KM,Automatic,"Kuala Lumpur, Old Klang Road"
2021/2024 Mercedes-Benz A180 1.3 AMG Line Hatchback - JAPAN SPEC LOW MILEAGE FULL DIGITAL METER,"RM 1,776 / month","RM 136,999",Mercedes-Benz A180,60 - 65K KM,Automatic,"Kuala Lumpur, Old Klang Road"
2020 BMW 330i 2.0 M Sport Sedan - LOW MILEAGE FACELIFT DIGITAL METER B48 ENGINE,"RM 1,802 / month","RM 138,999",BMW 330i,85 - 90K KM,Automatic,"Kuala Lumpur, Old Klang Road"
2019/2022 Toyota Alphard 2.5 G SC Modellista MPV - LOW MILEAGE MODELISTA BODYKIT JBL SOUND SYSTEM,"RM 2,243 / month","RM 172,999",Toyota Alphard,40 - 45K KM,Automatic,"Kuala Lumpur, Old Klang Road"
2017/2018 Toyota Vellfire 3.5 VL MPV - V6 JBL SUNROOF PILOT SEAT 360 CAMERA HOME THREATER,"RM 1,685 / month","RM 129,999",Toyota Vellfire,75 - 80K KM,Automatic,"Kuala Lumpur, Old Klang Road"
2015/2016 Toyota Vellfire 2.5 ZG MPV - DIGITAL REAR MIRROR BSM JBL PANORAMIC SLIDING SUNROOF,"RM 1,621 / month","RM 124,999",Toyota Vellfire,85 - 90K KM,Automatic,"Kuala Lumpur, Old Klang Road"
2022 BMW 320i 2.0 Sport Sedan - LOW MILEAGE FULL SERVICE RECORD UNDER WARRANTY 2027,"RM 1,737 / month","RM 133,999",BMW 320i,70 - 75K KM,Automatic,"Kuala Lumpur, Old Klang Road"
2021 BMW X3 2.0 xDrive30i M Sport SUV - FULL SERVICE RECORD UNDER WARRANTY 2026 ORIGINAL LOW MILE 88K,"RM 1,737 / month","RM 133,999",BMW X3,85 - 90K KM,Automatic,"Kuala Lumpur, Old Klang Road"
2020 Mercedes-Benz C200 2.0 AMG Line Sedan - Mercedes Benz AMG Facelift Full Service Record Hap Seng Star,"RM 1,530 / month","RM 117,999",Mercedes-Benz C200,80 - 85K KM,Automatic,"Kuala Lumpur, Old Klang Road"
2017/2021 Mercedes-Benz AMG A45 2.0 4MATIC Hatchback - FACELIFT ELECTRONIC CONTROL MEMORY SEATS FULL SERVICE RECORD,"RM 1,867 / month","RM 143,999",Mercedes-Benz AMG A45,95 - 100K KM,Automatic,"Kuala Lumpur, Old Klang Road"
2022 Toyota GR86 2.4 RZ Coupe - (A) MIL-ONLY 15K REG 2025 GR 86,"RM 1,990 / month","RM 153,499",Toyota GR86,10 - 15K KM,Automatic,"Selangor, Kajang"
2021/2023 Mercedes-Benz AMG A35 2.0 4MATIC Hatchback - Mercedes Benz A35 AMG 50K KM 360 Camera Electronic Memory Seats Burmester Sound System,"RM 2,204 / month","RM 169,999",Mercedes-Benz AMG A35,50 - 55K KM,Automatic,"Kuala Lumpur, Old Klang Road"
2019 BMW 330i 2.0 M Sport Sedan - LOW MILEAGE FACELIFT DIGITAL METER,"RM 1,685 / month","RM 129,999",BMW 330i,85 - 90K KM,Automatic,"Kuala Lumpur, Old Klang Road"
2023 Proton Iriz 1.3 Standard Hatchback - (A) MACAM BARU 14k-Mileage,RM 386 / month,"RM 29,800",Proton Iriz,10 - 15K KM,Automatic,"Perak, Sitiawan"
2016/2022 Mercedes-Benz AMG A45 2.0 4MATIC Hatchback - FACELIFT PANORAMIC SLIDING SUNROOF,"RM 1,737 / month","RM 133,999",Mercedes-Benz AMG A45,90 - 95K KM,Automatic,"Kuala Lumpur, Old Klang Road"
2017/2020 Toyota Alphard 2.5 G S C Package MPV - SC FULL MODELISTA BODYKIT POWER BOOT SUNROOF,"RM 1,867 / month","RM 143,999",Toyota Alphard,70 - 75K KM,Automatic,"Kuala Lumpur, Old Klang Road"
2007 Toyota Wish 1.8 MPV - SUNROOF,RM 309 / month,"RM 23,800",Toyota Wish,140 - 145K KM,Automatic,"Selangor, Batu Caves"
2024 Perodua Alza 1.5 AV MPV - Sime Darby Auto Selection Glenmarie Pre-Owned Used Cars,RM 895 / month,"RM 69,000",Perodua Alza,30 - 35K KM,Automatic,"Selangor, Shah Alam"
2019 Proton X70 1.8 Premium SUV - 2WD (A) PAN-ROOF,RM 568 / month,"RM 43,800",Proton X70,80 - 85K KM,Automatic,"Selangor, Kajang"
2024 MINI Countryman SE ALL4 SUV - Sime Darby Auto Selection Glenmarie Pre-Owned Used Cars,"RM 2,475 / month","RM 190,888",MINI Countryman,10 - 15K KM,Automatic,"Selangor, Shah Alam"
2018 Honda CR-V 1.5 TC SUV - (A) 5-Years Warranty,RM 944 / month,"RM 72,800",Honda CR-V,80 - 85K KM,Automatic,"Perak, Sitiawan"
2025 BMW X3 2.0 20 xDrive M Sport SUV,"RM 3,734 / month","RM 288,000",BMW X3,800 KM,Automatic,"Selangor, Shah Alam"
2020 BMW 320i 2.0 Sport Driving Assist Pack Sedan - Sime Darby Auto Selection Glenmarie Pre-Owned Used Cars,"RM 1,556 / month","RM 120,000",BMW 320i,70 - 75K KM,Automatic,"Selangor, Shah Alam"
2025 BMW X3 2.0 20 xDrive M Sport SUV,"RM 3,734 / month","RM 288,000",BMW X3,0 - 5K KM,Automatic,"Selangor, Shah Alam"
2023 Volvo XC90 2.0 Recharge T8 Ultimate PHEV SUV - Sime Darby Auto Selection Glenmarie Pre-Owned Used Cars,"RM 3,565 / month","RM 275,000",Volvo XC90,25 - 30K KM,Automatic,"Selangor, Shah Alam"
2023 Toyota Camry 2.5 V Sedan - Sime Darby Auto Selection Glenmarie Pre-Owned Used Cars,"RM 2,113 / month","RM 163,000",Toyota Camry,55 - 60K KM,Automatic,"Selangor, Shah Alam"
2016/2020 Toyota Vellfire 2.5 ZG MPV - (A) 5-Years Warranty,"RM 1,709 / month","RM 131,800",Toyota Vellfire,80 - 85K KM,Automatic,"Perak, Sitiawan"
2024 Toyota Corolla Altis 1.8 G Sedan - Sime Darby Auto Selection Glenmarie Pre-Owned Used Cars,"RM 1,452 / month","RM 112,000",Toyota Corolla Altis,20 - 25K KM,Automatic,"Selangor, Shah Alam"
2022 Honda CR-V 1.5 TC-P SUV - Sime Darby Auto Selection Glenmarie Pre-Owned Used Cars,"RM 1,413 / month","RM 109,000",Honda CR-V,60 - 65K KM,Automatic,"Selangor, Shah Alam"
2017 Proton Perdana 2.4 Sedan - CKD FACELIFT (A) I-VTEC 3RD GEN 178HP 5 SPEED,RM 296 / month,"RM 22,800",Proton Perdana,85 - 90K KM,Automatic,"Selangor, Seri Kembangan"
2022 Volkswagen Tiguan 1.4 Allspace Elegance SUV - Sime Darby Auto Selection Glenmarie Pre-Owned Used Cars,"RM 1,361 / month","RM 105,000",Volkswagen Tiguan,30 - 35K KM,Automatic,"Selangor, Shah Alam"
2017 Mazda CX-5 2.0 SKYACTIV-G GLS SUV - GLS 1Owner MACAM BARU,RM 866 / month,"RM 66,800",Mazda CX-5,75 - 80K KM,Automatic,"Perak, Sitiawan"
2023 Toyota Vios 1.5 G Sedan - Sime Darby Auto Selection Glenmarie Pre-Owned Used Cars,RM 895 / month,"RM 69,000",Toyota Vios,65 - 70K KM,Automatic,"Selangor, Shah Alam"
2017 Mitsubishi ASX 2.0 SUV - 2WD MIVEC - DOHC NEW FACELIFT - LIMITED EDITION - PREMIUM EXECUTIVE FULL HIGH SPECS,RM 464 / month,"RM 35,800",Mitsubishi ASX,70 - 75K KM,Automatic,"Selangor, Seri Kembangan"
2014 Volvo S60 1.6 T4 Sedan - TURBOCHARGED NEW FACELIFT - FULL HIGH SPECS - PREMIUM LUXURY EDITION,RM 438 / month,"RM 33,800",Volvo S60,90 - 95K KM,Automatic,"Selangor, Seri Kembangan"
2010 Toyota Vios 1.5 G Sedan - DUGONG NCP93 VVT-I TRD BODYKIT BBS RIM,RM 283 / month,"RM 21,800",Toyota Vios,100 - 105K KM,Automatic,"Selangor, Seri Kembangan"
2024 Mazda CX-5 2.0 SKYACTIV-G Mid SUV - Sime Darby Auto Selection Glenmarie Pre-Owned Used Cars,"RM 1,426 / month","RM 110,000",Mazda CX-5,50 - 55K KM,Automatic,"Selangor, Shah Alam"
2017 Proton Perdana 2.0 Sedan - DEC (A) i-VTEC 158HP 5 SPEED,RM 373 / month,"RM 28,800",Proton Perdana,85 - 90K KM,Automatic,"Selangor, Seri Kembangan"
2015 BMW X1 2.0 sDrive20i SUV - Sime Darby Auto Selection Glenmarie Pre-Owned Used Cars,RM 752 / month,"RM 58,000",BMW X1,75 - 80K KM,Automatic,"Selangor, Shah Alam"
2022 Honda City 1.5 V Sensing Sedan - FULL SERVICE REVERSE CAMERA LANE WATCH PADDLE SHIFT CRUISE CONTROL FULL LEATHER SEAT CARPLAY,RM 788 / month,"RM 60,800",Honda City,90 - 95K KM,Automatic,"Kuala Lumpur, Cheras"
2018 MINI Cooper 1.5 5 Door Hatchback - Sime Darby Auto Selection Glenmarie Pre-Owned Used Cars,"RM 1,448 / month","RM 111,700",MINI Cooper,60 - 65K KM,Automatic,"Selangor, Shah Alam"
2021 Honda CR-V 2.0 SUV - (A) F Service MACAM BARU,"RM 1,099 / month","RM 84,800",Honda CR-V,75 - 80K KM,Automatic,"Perak, Sitiawan"
2015 BMW 220i 2.0 Gran Tourer MPV - Sime Darby Auto Selection Glenmarie Pre-Owned Used Cars,RM 596 / month,"RM 46,000",BMW 220i,75 - 80K KM,Automatic,"Selangor, Shah Alam"
2012 Perodua Myvi 1.3 EZi Hatchback - AUTO (MUKA 1500 SHJ),RM 257 / month,"RM 19,790",Perodua Myvi,90 - 95K KM,Automatic,"Selangor, Banting"
2022 Honda City 1.5 V Sensing Sedan - Sime Darby Auto Selection Glenmarie Pre-Owned Used Cars,RM 843 / month,"RM 65,000",Honda City,60 - 65K KM,Automatic,"Selangor, Shah Alam"
2023 MINI Cooper 2.0 S 3 Door Hatchback - Sime Darby Auto Selection Glenmarie Pre-Owned Used Cars,"RM 2,334 / month","RM 180,000",MINI Cooper,20 - 25K KM,Automatic,"Selangor, Shah Alam"
2019 Proton X70 1.8 TGDI Premium SUV - Sime Darby Auto Selection Glenmarie Pre-Owned Used Cars,RM 661 / month,"RM 51,000",Proton X70,110 - 115K KM,Automatic,"Selangor, Shah Alam"
2018 Toyota Vios 1.5 Sports Edition Sedan - S TRD Full Spec 5-YRS WRRNTY,RM 685 / month,"RM 52,800",Toyota Vios,85 - 90K KM,Automatic,"Perak, Sitiawan"
2024 BMW iX3 M Sport Impressive SUV - 0.0 - Sime Darby Auto Selection Glenmarie Pre-Owned Used Cars,"RM 2,723 / month","RM 210,000",BMW iX3,10 - 15K KM,Automatic,"Selangor, Shah Alam"
2021 BMW 320i 2.0 Sport Driving Assist Pack Sedan - Sime Darby Auto Selection Glenmarie Pre-Owned Used Cars,"RM 1,685 / month","RM 130,000",BMW 320i,65 - 70K KM,Automatic,"Selangor, Shah Alam"
2016 BMW 218i 1.5 Active Tourer Hatchback - Sime Darby Auto Selection Glenmarie Pre-Owned Used Cars,RM 583 / month,"RM 45,000",BMW 218i,55 - 60K KM,Automatic,"Selangor, Shah Alam"
2017 BMW X1 2.0 sDrive20i SUV - Sime Darby Auto Selection Glenmarie Pre-Owned Used Cars,RM 778 / month,"RM 60,000",BMW X1,55 - 60K KM,Automatic,"Selangor, Shah Alam"
2017 Porsche 718 2.5 Boxster S Convertible,"RM 3,773 / month","RM 291,000",Porsche 718,20 - 25K KM,Automatic,"Selangor, Cheras"
2016 Honda Civic 1.8 S Sedan - Sime Darby Auto Selection Glenmarie Pre-Owned Used Cars,RM 635 / month,"RM 49,000",Honda Civic,90 - 95K KM,Automatic,"Selangor, Shah Alam"
2014 Mercedes-Benz C200 2.0 Avantgarde Sedan - Free Warranty May Mega Sales,RM 775 / month,"RM 59,800",Mercedes-Benz C200,90 - 95K KM,Automatic,"Kuala Lumpur, Old Klang Road"
2017 Honda City 1.5 Hybrid Sedan - Sime Darby Auto Selection Glenmarie Pre-Owned Used Cars,RM 506 / month,"RM 39,000",Honda City,75 - 80K KM,Automatic,"Selangor, Shah Alam"
2022 Mercedes-Benz AMG GLA35 2.0 4MATIC SUV - Sime Darby Auto Selection Glenmarie Pre-Owned Used Cars,"RM 2,697 / month","RM 208,000",Mercedes-Benz AMG GLA35,35 - 40K KM,Automatic,"Selangor, Shah Alam"
2023 Ford Ranger 2.0 Wildtrak Dual Cab Pickup - Sime Darby Auto Selection Glenmarie Pre-Owned Used Cars,"RM 1,646 / month","RM 127,000",Ford Ranger,15 - 20K KM,Automatic,"Selangor, Shah Alam"
2025 BMW i4 eDrive35 M Sport Coupe - 0.0 - Sime Darby Auto Selection Glenmarie Pre-Owned Used Cars,"RM 3,122 / month","RM 240,800",BMW i4,5 - 10K KM,Automatic,"Selangor, Shah Alam"
2023 Proton X50 1.5 Premium SUV - Sime Darby Auto Selection Glenmarie Pre-Owned Used Cars,RM 817 / month,"RM 63,000",Proton X50,35 - 40K KM,Automatic,"Selangor, Shah Alam"
2017 Perodua Bezza 1.3 X Premium Sedan - X (A) 2-Years Warranty,RM 334 / month,"RM 25,800",Perodua Bezza,85 - 90K KM,Automatic,"Perak, Ipoh"
2025 MINI Cooper John Cooper Works E 3 Door Hatchback - 0.0 John Works E 3 Door - Sime Darby Auto Selection Glenmarie Pre-Owned Used Cars,"RM 2,463 / month","RM 190,000",MINI Cooper,10 - 15K KM,Automatic,"Selangor, Shah Alam"
2008 Toyota Estima 2.4 Aeras MPV - ORIGINAL FACELIFT G 2 POWER DOORS POWER CHAIR 7 SEATERS,RM 609 / month,"RM 46,999",Toyota Estima,95 - 100K KM,Automatic,"Negeri Sembilan, Seremban"
2025 BMW X3 2.0 20 xDrive M Sport SUV - Sime Darby Auto Selection Glenmarie Pre-Owned Used Cars,"RM 3,809 / month","RM 293,800",BMW X3,5 - 10K KM,Automatic,"Selangor, Shah Alam"
2018 Lexus IS 300 2.0 Premium Sedan - Sime Darby Auto Selection Glenmarie Pre-Owned Used Cars,"RM 1,932 / month","RM 149,000",Lexus IS 300,55 - 60K KM,Automatic,"Selangor, Shah Alam"
2021 BMW 740Le 3.0 xDrive Pure Excellence Sedan,"RM 2,450 / month","RM 189,000",BMW 740Le,60 - 65K KM,Automatic,"Selangor, Shah Alam"
2019 Honda HR-V 1.8 V SUV - ORI FACELIFT LOW MILEAGE ACCIDENT FREE CAR,RM 856 / month,"RM 65,999",Honda HR-V,60 - 65K KM,Automatic,"Negeri Sembilan, Seremban"
2020/2021 Mercedes-Benz E200 2.0 SportStyle Avantgarde Sedan - MERCEDES BENZ SPORTSTYLE FULL SERVICE RECORD IN HAP SENG STAR LOW MILEAGE 61K KM,"RM 1,681 / month","RM 129,700",Mercedes-Benz E200,60 - 65K KM,Automatic,"Selangor, Seri Kembangan"
2022 Honda City 1.5 V Sensing Sedan - ORI TOP SPEC WITH WARRANTY TILL 2027,RM 895 / month,"RM 68,999",Honda City,70 - 75K KM,Automatic,"Negeri Sembilan, Seremban"
2014 Proton Exora 1.6 Bold CFE Premium MPV - Full Spec (A) 2-YRS WRRNTY,RM 244 / month,"RM 18,800",Proton Exora,80 - 85K KM,Automatic,"Perak, Ipoh"
2019 Honda CR-V 1.5 TC-P SUV - ORIGINAL ACCIDENT FREE LOW MILEAGE 1 YR WARRANTY,"RM 1,128 / month","RM 86,999",Honda CR-V,70 - 75K KM,Automatic,"Negeri Sembilan, Seremban"
2014 Perodua Myvi 1.3 SE Hatchback,RM 246 / month,"RM 18,999",Perodua Myvi,90 - 95K KM,Automatic,"Negeri Sembilan, Seremban"
2018 Mazda CX-5 2.0 SKYACTIV-G GLS SUV - GLS 2WD H SKYACTIV (A) GOOD CONDITION 3 YEAR WARRANTY,RM 957 / month,"RM 73,800",Mazda CX-5,115 - 120K KM,Automatic,"Kuala Lumpur, Cheras"
2022 Honda Civic 1.5 RS Sedan - ORIGINAL ORIGINAL PAINT FULL SERVICE WARRANTY 2027,"RM 1,387 / month","RM 106,999",Honda Civic,60 - 65K KM,Automatic,"Negeri Sembilan, Seremban"
2022 Mazda CX-5 2.0 SKYACTIV-G High SUV - SKYACTIV (A) G 2WD HIGH 6 SPEED TIK TOK CONDITION 3 YEAR WARRANTY,"RM 1,294 / month","RM 99,800",Mazda CX-5,65 - 70K KM,Automatic,"Kuala Lumpur, Cheras"
2010 Toyota Vios 1.5 J Sedan - ORIGINAL (M) MANUAL TRD SPORT RIM ORIGINAL CONDITIONS,RM 233 / month,"RM 17,999",Toyota Vios,95 - 100K KM,Manual,"Negeri Sembilan, Seremban"
2022 Honda City 1.5 E Hatchback - (A) I-VTEC FULL SERVICE RECORD BY GOOD CONDITION,RM 853 / month,"RM 65,800",Honda City,70 - 75K KM,Automatic,"Kuala Lumpur, Cheras"
2015 Honda City 1.5 E Sedan - I-VTEC (A) GOOD CONDITION 3 YEAR WARRANTY,RM 464 / month,"RM 35,800",Honda City,100 - 105K KM,Automatic,"Kuala Lumpur, Cheras"
2022 Honda Civic 1.5 E Sedan - (A) LOW MILEAGE FULL SERVICE BY TIK TOK CONDITION,"RM 1,256 / month","RM 96,900",Honda Civic,40 - 45K KM,Automatic,"Kuala Lumpur, Cheras"
2015/2020 Toyota Vellfire 2.5 ZA MPV - (A) GOOD CONDITION 3 YEAR WARRANTY,"RM 1,385 / month","RM 106,800",Toyota Vellfire,90 - 95K KM,Automatic,"Kuala Lumpur, Cheras"
2019 Honda Jazz 1.5 E Hatchback - I-VTEC (A) FACELIFT GOOD CONDITION 3 YEAR WARRANTY,RM 736 / month,"RM 56,800",Honda Jazz,70 - 75K KM,Automatic,"Kuala Lumpur, Cheras"
2020 Proton Saga 1.3 Premium Sedan - (A) 5-YRS WRRNTY,RM 296 / month,"RM 22,800",Proton Saga,45 - 50K KM,Automatic,"Perak, Sitiawan"
2020 Toyota Vios 1.5 G Sedan,RM 775 / month,"RM 59,800",Toyota Vios,55 - 60K KM,Automatic,"Johor, Johor Bahru"
2020 Honda Civic 1.5 TC-P Sedan,"RM 1,216 / month","RM 93,800",Honda Civic,65 - 70K KM,Automatic,"Johor, Johor Bahru"
2021 Perodua Aruz 1.5 AV SUV - (A),RM 672 / month,"RM 51,800",Perodua Aruz,85 - 90K KM,Automatic,"Perak, Ipoh"
2012 Proton Preve 1.6 Executive Sedan,RM 179 / month,"RM 13,790",Proton Preve,125 - 130K KM,Automatic,"Selangor, Banting"
2015 Honda HR-V 1.8 V SUV - Full Spec 2-Years Warranty,RM 516 / month,"RM 39,800",Honda HR-V,80 - 85K KM,Automatic,"Perak, Sitiawan"
"2024 Volkswagen Golf 2.0 R Hatchback - DWA VW ( VW Pre-Owned 1,200KM )","RM 3,577 / month","RM 275,888",Volkswagen Golf,0 - 5K KM,Automatic,"Selangor, Shah Alam"
2012 Perodua Myvi 1.5 SE Hatchback,RM 297 / month,"RM 22,900",Perodua Myvi,195 - 200K KM,Automatic,"Johor, Masai"
2016 Perodua Alza 1.5 EZ MPV - (A) 2-Years Warranty,RM 373 / month,"RM 28,800",Perodua Alza,120 - 125K KM,Automatic,"Perak, Sitiawan"
2021 Mazda CX-5 2.0 SKYACTIV-G High SUV,"RM 1,276 / month","RM 98,400",Mazda CX-5,55 - 60K KM,Automatic,"Johor, Johor Bahru"
2023 BMW X4 2.0 xDrive30i M Sport SUV,"RM 3,410 / month","RM 263,000",BMW X4,40 - 45K KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
2020 Perodua Myvi 1.5 H Hatchback - 1YR WARRANTY SUPERB CONDITION SEMUA SYSTEM FUNCTION DENGAN BAIK,RM 543 / month,"RM 41,900",Perodua Myvi,75 - 80K KM,Automatic,"Penang, Bayan Lepas"
2022 Proton Persona 1.6 Executive Sedan - CONDITION KOYAK PLASTIK UNDERCARRIAGE 5 BINTANG LUAR DALAM SUPER CUN,RM 504 / month,"RM 38,900",Proton Persona,20 - 25K KM,Automatic,"Penang, Bayan Lepas"
2008 Toyota Hilux 2.5 G Dual Cab Pickup - (A),RM 425 / month,"RM 32,800",Toyota Hilux,160 - 165K KM,Automatic,"Kuala Lumpur, Old Klang Road"
2017 Perodua Bezza 1.3 Advance Sedan - CONDITION MANTAP LUAR DALAM TIPTOP TIADA KERAGUAN DENGAN PERFOMANCE,RM 381 / month,"RM 29,400",Perodua Bezza,125 - 130K KM,Automatic,"Penang, Bayan Lepas"
